                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8493,                  5.808,                 2.7457,                0.00022,                   0.25,                0.00025,                  5e-05,                 3.0077,                 6.1331,                 3.1901,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 2.6418,                 5.3555,                 2.5947,                0.00022,                   0.25,                0.00028,                  3e-05,                 2.9892,                 6.1334,                 3.1856,             4.7535e-05,             4.7535e-05,             4.7535e-05
                      3,                  2.792,                 5.7773,                 2.7788,                0.00021,                   0.25,                 0.0002,                  6e-05,                 2.9793,                 6.1304,                 3.1818,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      4,                 2.8248,                 5.6105,                 2.8169,                0.01163,                0.08333,                0.00716,                0.00072,                 2.0276,                 17.821,                  2.609,             9.9362e-05,             9.9362e-05,             9.9362e-05
                      5,                 2.2875,                 3.4484,                 2.2976,                0.45694,                0.83333,                0.55718,                0.30978,                 1.6652,                 8.7669,                  2.189,             0.00012032,             0.00012032,             0.00012032
                      6,                 1.8885,                 2.7644,                 2.0716,                0.46806,                   0.75,                0.63849,                0.44488,                 1.3469,                 4.8776,                 1.9651,             0.00013799,             0.00013799,             0.00013799
                      7,                 1.5744,                 2.2586,                 1.7953,                0.40978,                   0.75,                0.79045,                0.56241,                   1.33,                 2.9969,                 1.8863,             0.00015235,             0.00015235,             0.00015235
                      8,                 1.5909,                 2.3411,                 1.8338,                0.57252,                0.74138,                0.76286,                0.42564,                 1.6907,                 3.7466,                 2.1972,             0.00016341,             0.00016341,             0.00016341
                      9,                 1.6773,                 1.9886,                 1.8948,                0.91393,                0.70243,                  0.755,                0.45932,                 1.6519,                 3.8693,                  2.199,             0.00017117,             0.00017117,             0.00017117
                     10,                 1.7482,                 1.8002,                 1.8379,                0.92108,                0.66667,                0.74177,                0.42981,                 1.6137,                 2.8809,                 2.1546,             0.00017563,             0.00017563,             0.00017563
                     11,                  1.531,                 2.1757,                 1.9776,                0.83201,                   0.75,                0.74506,                0.37067,                 1.5862,                 3.1205,                 2.0298,             0.00017679,             0.00017679,             0.00017679
                     12,                  1.444,                 2.2078,                 2.0951,                0.88769,                   0.75,                0.74506,                0.39922,                 1.5642,                 3.1066,                 1.9974,             0.00017464,             0.00017464,             0.00017464
                     13,                 1.3007,                 1.9714,                 1.8685,                0.74498,                0.67382,                0.74506,                0.42739,                 1.6089,                  3.396,                 1.9936,              0.0001692,              0.0001692,              0.0001692
                     14,                 1.3869,                 1.6723,                 2.1174,                0.59718,                0.67499,                 0.6236,                0.40231,                  1.313,                 3.7989,                 1.7422,             0.00016046,             0.00016046,             0.00016046
                     15,                 1.2961,                 1.5936,                 1.7552,                 0.5557,                0.74533,                0.76583,                0.48193,                 1.3271,                 3.5579,                 1.7814,             0.00014841,             0.00014841,             0.00014841
                     16,                 1.2809,                 1.6217,                  1.912,                0.76108,                0.69653,                0.78667,                0.46695,                 1.5663,                 2.6469,                 1.9928,             0.00013307,             0.00013307,             0.00013307
                     17,                 1.5505,                 1.6168,                 2.0055,                0.87178,                   0.72,                0.80056,                0.49758,                 1.5015,                 2.1643,                 1.8585,             0.00011442,             0.00011442,             0.00011442
                     18,                 1.4367,                 1.4615,                  1.978,                0.76995,                      1,                0.91167,                0.55763,                 1.2595,                 1.7721,                 1.6137,             9.2477e-05,             9.2477e-05,             9.2477e-05
                     19,                 1.2933,                 1.3846,                 1.8648,                 0.9814,                0.98508,                  0.995,                0.65164,                  1.183,                 1.7013,                 1.5637,              6.723e-05,              6.723e-05,              6.723e-05
                     20,                 1.3067,                 1.3198,                 1.8937,                0.98648,                      1,                  0.995,                0.62203,                 1.1838,                 1.6585,                 1.5803,             3.8683e-05,             3.8683e-05,             3.8683e-05
